model,MAE,R2,Accuracy
Ridge,1.666603746868951,0.9429396170312454,0.9301176581534429
LinearRegression,1.6696516967461041,0.9428483132051496,0.929989854603471
GradientBoosting,1.911617395154374,0.923266183561056,0.9198439937873802
RandomForest,2.318963521443524,0.8967192981612173,0.9027635682209019
SVR,2.444319868750575,0.874202075079256,0.8975072527160286
AdaBoost,2.562126939519428,0.87124853641333,0.8925674858357026
DecisionTree,2.854229099042479,0.8383806691641773,0.8803193536661591
MLP,3.1971357591868754,0.7969571418456426,0.865940938586575
KNeighbors,12.355651726533928,-1.6520213426130415,0.4819153147154531
